name,host_id,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,price,maximum_nights,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,total_amenities
You Found it! Pet-friendly Property in NYC!,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,4,1.0,40029.0,1125,363,0,70,0.0,351
Rare Gem! Short Drive to Strawberry Fields!,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,4,1.0,40029.0,1125,363,0,70,0.0,351
NYC Spacious 3BR • LGA/ JFK • 15 Mins To City,488152765,f,Astoria,Queens,40.77081,-73.92659,Entire rental unit,Entire home/apt,10,3.0,424.0,365,365,69,7,2.24,1025
"Hidden Gem in Saint Albans, NY",416189034,f,St. Albans,Queens,40.69786,-73.75734,Entire townhouse,Entire home/apt,2,1.0,106.0,90,259,35,1,1.15,393
Room available in Midtown,86486502,f,Midtown,Manhattan,40.74942,-73.98582,Private room in bed and breakfast,Private room,2,1.0,140.0,365,89,0,1,0.0,122
Duplex condo w/ Rooftop & Private Patio,36719835,f,Bedford-Stuyvesant,Brooklyn,40.69335,-73.95407,Entire rental unit,Entire home/apt,4,1.0,386.0,365,270,0,1,0.0,270
Modern Studio Sublet,43169359,f,Greenpoint,Brooklyn,40.73603,-73.95573,Entire rental unit,Entire home/apt,2,0.0,130.0,365,157,0,1,0.0,136
Do NOT book. Closed for Bookings.,183239892,f,East Flatbush,Brooklyn,40.6606836,-73.9221354,Private room in rental unit,Private room,1,1.0,141.0,365,365,3,2,0.1,211
Just What You Were Looking For! Pets Allowed,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,5,1.0,40000.0,1125,333,0,70,0.0,351
Rare Find! Near Museum of Modern Art,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,2,1.0,303.0,1125,365,0,70,0.0,351
A Place You'll Surely Enjoy! Pets are Allowed!,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,4,1.0,40000.0,1125,192,0,70,0.0,351
Oasis 1,90930266,t,Melrose,Bronx,40.82089,-73.91488,Private room in townhouse,Private room,2,1.0,101.0,28,172,79,4,2.67,742
A Place You'll Surely Enjoy! Pet-friendly Property,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,2,1.0,40000.0,1125,345,0,70,0.0,351
You Found it! Near Rockefeller Center,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,2,1.0,40000.0,1125,345,0,70,0.0,351
Downstairs Studio Brooklyn Crown Heights,1516600,f,East Flatbush,Brooklyn,40.6633971,-73.929587,Entire rental unit,Entire home/apt,4,1.0,124.0,365,295,14,2,0.45,230
Rare Gem! Near Museum of Modern Art,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,5,1.0,40000.0,1125,333,0,70,0.0,351
Indulge in Home Like Comfort! Pet-friendly,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,2,1.0,303.0,1125,365,0,70,0.0,351
Comfortable Studio in UWS NY,448577768,f,Harlem,Manhattan,40.82613419811173,-73.94616961695687,Entire rental unit,Entire home/apt,1,0.0,86.0,45,339,1,1,0.04,203
The Hidden Gem: 20 Min to NYC | 10 Min to JFK,47633041,f,St. Albans,Queens,40.69234,-73.76385,Entire rental unit,Entire home/apt,9,2.0,256.0,365,365,38,1,1.23,605
Oasis 2,90930266,t,Melrose,Bronx,40.819,-73.914,Private room in townhouse,Private room,2,1.0,90.0,28,167,88,4,3.01,826
Nikozy,206642978,t,Mariners Harbor,Staten Island,40.63672,-74.16801,Private room in rental unit,Private room,4,2.0,120.0,1125,365,13,2,0.42,947
"Charm, modern near Prospect Park, Brooklyn",1033970,f,Prospect-Lefferts Gardens,Brooklyn,40.65639,-73.95015,Entire rental unit,Entire home/apt,4,1.0,217.0,60,135,22,8,0.72,853
Chelsea 1 BR w/ Office by Anyplace - 11588,415840703,t,Chelsea,Manhattan,40.74104,-73.99459,Entire rental unit,Entire home/apt,2,1.0,316.0,365,261,1,22,0.04,1255
Dean Street Suites,90797353,t,Prospect Heights,Brooklyn,40.67874,-73.96706,Entire rental unit,Entire home/apt,2,0.0,150.0,1125,364,21,1,0.73,389
Giant two bedroom - BK sanctuary,3002665,f,Bedford-Stuyvesant,Brooklyn,40.68704,-73.91816,Entire rental unit,Entire home/apt,4,2.0,105.0,365,162,3,1,0.1,1013
Entire Home JFK/LGA/UBS Arena/Belmont Park,11855341,t,Queens Village,Queens,40.71768,-73.73094,Entire home,Entire home/apt,6,3.0,250.0,1125,334,41,1,1.35,1396
Cozy Balcony in Lower Manhattan,47049546,t,Two Bridges,Manhattan,40.71053303248587,-73.9962679933904,Private room in rental unit,Private room,1,1.0,98.0,60,31,40,2,1.3,897
